title,linkn,imgurl
RCA RFR741-BLACK Apartment Size-Top Freezer-2 Door Fridge-Adjustable Thermostat Control-Black-7.5 Cubic Feet,https://www.amazon.com/RCA-RFR741-BLACK-Refrigerator-7-5-BLACK/dp/B07YT1W944/ref=sr_1_1?dib=eyJ2IjoiMSJ9.-2RY0hqbpG70qoPlUQM05_lelBD7MVD08gOhHRVq60PW_Fr6hoXkzNLGd4O02bb6h7DSfCe1QWx65zWvPG7VRgav-gFyilJZQB-zo13Dwu3CHmWbxLBsGqTldaRCS6Rqg2KS8Qcr0s7dkk-VRDSNuQeJufJeoXynyw-ScbZyWBvker3EN_NYpvwZGRGvWsCwD3osDm6YNAacLloC6jRZyG2x5YDqw1ZvURBo5ExUUUc.Lei6_BmINsCXggONrmf4UhLswg06yD4jTyU04-G5LVs&dib_tag=se&keywords=fridge&qid=1718608270&sr=8-1,https://m.media-amazon.com/images/I/61v3f238ZuL.__AC_SX342_SY445_QL70_ML2_.jpg
"RCA RFR725 2 Door Apartment Size Refrigerator with Freezer, Stainless,7.5 cu ft",https://www.amazon.com/RCA-RFR725-Apartment-Refrigerator-Stainless/dp/B082PMYZ2X/ref=sr_1_2?dib=eyJ2IjoiMSJ9.-2RY0hqbpG70qoPlUQM05_lelBD7MVD08gOhHRVq60PW_Fr6hoXkzNLGd4O02bb6h7DSfCe1QWx65zWvPG7VRgav-gFyilJZQB-zo13Dwu3CHmWbxLBsGqTldaRCS6Rqg2KS8Qcr0s7dkk-VRDSNuQeJufJeoXynyw-ScbZyWBvker3EN_NYpvwZGRGvWsCwD3osDm6YNAacLloC6jRZyG2x5YDqw1ZvURBo5ExUUUc.Lei6_BmINsCXggONrmf4UhLswg06yD4jTyU04-G5LVs&dib_tag=se&keywords=fridge&qid=1718608270&sr=8-2,https://m.media-amazon.com/images/I/71O50FrYYyL.__AC_SX342_SY445_QL70_ML2_.jpg
"Honeywell Beverage Refrigerator and Cooler, 115 Can Mini Fridge with Glass Door for Soda Beer or Wine for Office or Bar with Adjustable Removable Shelving",https://www.amazon.com/Honeywell-Beverage-Refrigerator-Adjustable-Removable/dp/B09S3YNSPJ/ref=sr_1_4?dib=eyJ2IjoiMSJ9.-2RY0hqbpG70qoPlUQM05_lelBD7MVD08gOhHRVq60PW_Fr6hoXkzNLGd4O02bb6h7DSfCe1QWx65zWvPG7VRgav-gFyilJZQB-zo13Dwu3CHmWbxLBsGqTldaRCS6Rqg2KS8Qcr0s7dkk-VRDSNuQeJufJeoXynyw-ScbZyWBvker3EN_NYpvwZGRGvWsCwD3osDm6YNAacLloC6jRZyG2x5YDqw1ZvURBo5ExUUUc.Lei6_BmINsCXggONrmf4UhLswg06yD4jTyU04-G5LVs&dib_tag=se&keywords=fridge&qid=1718608270&sr=8-4,https://m.media-amazon.com/images/I/615cGrjMr3L.__AC_SX342_SY445_QL70_ML2_.jpg
"RCA RFR321-B-Black-COM RFR321 Single Mini Refrigerator-Freezer Compartment-Adjustable Thermostat Control-Reversible Doors-Ideal for Dorm, Office, RV, Garage, Apartment-Black Cubic Feet, 3.2 CU.FT",https://www.amazon.com/RFR321-B-Black-COM-Refrigerator-Freezer-Compartment-Adjustable-Control-Reversible-Apartment-Black-3-2/dp/B00P84EVMQ/ref=sr_1_6?dib=eyJ2IjoiMSJ9.-2RY0hqbpG70qoPlUQM05_lelBD7MVD08gOhHRVq60PW_Fr6hoXkzNLGd4O02bb6h7DSfCe1QWx65zWvPG7VRgav-gFyilJZQB-zo13Dwu3CHmWbxLBsGqTldaRCS6Rqg2KS8Qcr0s7dkk-VRDSNuQeJufJeoXynyw-ScbZyWBvker3EN_NYpvwZGRGvWsCwD3osDm6YNAacLloC6jRZyG2x5YDqw1ZvURBo5ExUUUc.Lei6_BmINsCXggONrmf4UhLswg06yD4jTyU04-G5LVs&dib_tag=se&keywords=fridge&qid=1718608270&sr=8-6,https://m.media-amazon.com/images/I/61ixroTFTYL.__AC_SY445_SX342_QL70_ML2_.jpg
"EUHOMY Beverage Refrigerator and Cooler, 126 Can Mini fridge with Glass Door, Small Refrigerator with Adjustable Shelves for Soda Beer or Wine, Perfect for Home/Bar/Office (Slive).",https://www.amazon.com/Beverage-Refrigerator-Adjustable-Shelves-Perfect/dp/B099F4321V/ref=sr_1_7?dib=eyJ2IjoiMSJ9.-2RY0hqbpG70qoPlUQM05_lelBD7MVD08gOhHRVq60PW_Fr6hoXkzNLGd4O02bb6h7DSfCe1QWx65zWvPG7VRgav-gFyilJZQB-zo13Dwu3CHmWbxLBsGqTldaRCS6Rqg2KS8Qcr0s7dkk-VRDSNuQeJufJeoXynyw-ScbZyWBvker3EN_NYpvwZGRGvWsCwD3osDm6YNAacLloC6jRZyG2x5YDqw1ZvURBo5ExUUUc.Lei6_BmINsCXggONrmf4UhLswg06yD4jTyU04-G5LVs&dib_tag=se&keywords=fridge&qid=1718608270&sr=8-7,https://m.media-amazon.com/images/I/810Puf9WtoL.__AC_SY445_SX342_QL70_ML2_.jpg
"EUHOMY 1.7 Cu.Ft Mini Fridge with Freezer, Reversible Single Door Compact Refrigerator, Adjustable Thermostat, Energy Saving, Mini Fridge for Bedroom, Office, Dorm, Black",https://www.amazon.com/EUHOMY-Reversible-Refrigerator-Adjustable-Thermostat/dp/B0CG4QXXQ6/ref=sr_1_11?dib=eyJ2IjoiMSJ9.-2RY0hqbpG70qoPlUQM05_lelBD7MVD08gOhHRVq60PW_Fr6hoXkzNLGd4O02bb6h7DSfCe1QWx65zWvPG7VRgav-gFyilJZQB-zo13Dwu3CHmWbxLBsGqTldaRCS6Rqg2KS8Qcr0s7dkk-VRDSNuQeJufJeoXynyw-ScbZyWBvker3EN_NYpvwZGRGvWsCwD3osDm6YNAacLloC6jRZyG2x5YDqw1ZvURBo5ExUUUc.Lei6_BmINsCXggONrmf4UhLswg06yD4jTyU04-G5LVs&dib_tag=se&keywords=fridge&qid=1718608270&sr=8-11,https://m.media-amazon.com/images/I/717Mh+PQ3nL._AC_SX342_SY445_.jpg
"Upstreman 4.0 Cu.Ft. Mini Fridge with Freezer, Double Door, Mini Fridge for Office,Dorm, Bedroom,Adjustable Thermostat, Large Capacity,Black-BR401",https://www.amazon.com/Upstreman-Adjustable-Thermostat-Capacity-Black-BR401/dp/B0CMC1SPDK/ref=sr_1_13?dib=eyJ2IjoiMSJ9.-2RY0hqbpG70qoPlUQM05_lelBD7MVD08gOhHRVq60PW_Fr6hoXkzNLGd4O02bb6h7DSfCe1QWx65zWvPG7VRgav-gFyilJZQB-zo13Dwu3CHmWbxLBsGqTldaRCS6Rqg2KS8Qcr0s7dkk-VRDSNuQeJufJeoXynyw-ScbZyWBvker3EN_NYpvwZGRGvWsCwD3osDm6YNAacLloC6jRZyG2x5YDqw1ZvURBo5ExUUUc.Lei6_BmINsCXggONrmf4UhLswg06yD4jTyU04-G5LVs&dib_tag=se&keywords=fridge&qid=1718608270&sr=8-13,https://m.media-amazon.com/images/I/51oukMVuYSL.__AC_SY445_SX342_QL70_ML2_.jpg
"West Bend Mini Fridge with Freezer Retro-Styled for Home Office or Dorm, Manual Defrost and Adjustable Temperature, 3 Cu.Ft, Green",https://www.amazon.com/West-Bend-WB0300RCR2XSG-Retro-Styled-Temperature/dp/B0C1HSQKLK/ref=sr_1_17?dib=eyJ2IjoiMSJ9._ML-eIcX94xzk1kXKYKnDR76Q6Wnx2uC5g2CZB4ExodaHhsHdP8Cthc64FsmyON0RRQdNCjmna4HP0GlDJJx5cZ3Ad6mlNsdOavyKcsuvD5RzNq95l4A0-hQv-lykFF6eM4jUmIKqdiOhX04XZY3aq7US_5a6oBFMh3f2wjuL0pSJpvXoMV7v8soFjq0azX-l5kuQFW4VLH_TWSQsMq1-YToUK526Agc2yY8H6OF0uU.EVkoKLBdeuj0aBPI8A97d4oXIBg3y9fcO091W9NUCTQ&dib_tag=se&keywords=fridge&qid=1718608271&sr=8-17,https://m.media-amazon.com/images/I/61fzWIGz5qL.__AC_SY445_SX342_QL70_ML2_.jpg
"Frigidaire EFR176 Retro Compact Fridge with Chiller Mini Refrigerator with Built-in Bottle Opener for Office, Bedroom, Dorm Room or Cabin, 1.6 cu ft 16""D x 18""W x 18.5""H, Blue",https://www.amazon.com/Frigidaire-EFR176-BLUE-Fridge-Bottle-Opener/dp/B07LDVXK4Q/ref=sr_1_18?dib=eyJ2IjoiMSJ9._ML-eIcX94xzk1kXKYKnDR76Q6Wnx2uC5g2CZB4ExodaHhsHdP8Cthc64FsmyON0RRQdNCjmna4HP0GlDJJx5cZ3Ad6mlNsdOavyKcsuvD5RzNq95l4A0-hQv-lykFF6eM4jUmIKqdiOhX04XZY3aq7US_5a6oBFMh3f2wjuL0pSJpvXoMV7v8soFjq0azX-l5kuQFW4VLH_TWSQsMq1-YToUK526Agc2yY8H6OF0uU.EVkoKLBdeuj0aBPI8A97d4oXIBg3y9fcO091W9NUCTQ&dib_tag=se&keywords=fridge&qid=1718608271&sr=8-18,https://m.media-amazon.com/images/I/71F9Xw3eYWL.__AC_SY445_SX342_QL70_ML2_.jpg
"FRIGIDAIRE Portable 10L, 15-can Mini Fridge Brushed Stainless Rugged Refrigerator, EFMIS188-SS",https://www.amazon.com/FRIGIDAIRE-Portable-Stainless-Refrigerator-EFMIS183-SS/dp/B08X6QBB2N/ref=sr_1_20?dib=eyJ2IjoiMSJ9._ML-eIcX94xzk1kXKYKnDR76Q6Wnx2uC5g2CZB4ExodaHhsHdP8Cthc64FsmyON0RRQdNCjmna4HP0GlDJJx5cZ3Ad6mlNsdOavyKcsuvD5RzNq95l4A0-hQv-lykFF6eM4jUmIKqdiOhX04XZY3aq7US_5a6oBFMh3f2wjuL0pSJpvXoMV7v8soFjq0azX-l5kuQFW4VLH_TWSQsMq1-YToUK526Agc2yY8H6OF0uU.EVkoKLBdeuj0aBPI8A97d4oXIBg3y9fcO091W9NUCTQ&dib_tag=se&keywords=fridge&qid=1718608271&sr=8-20,https://m.media-amazon.com/images/I/31uxkBecVWL._SY445_SX342_QL70_ML2_.jpg
"COMFEE' CRM45D3AST Cu Ft Double Door Refrigerator, 4.5 Cuft, Silver",https://www.amazon.com/COMFEE-CRM45D3AST-Double-Refrigerator-Stainless/dp/B09F38ZW9Q/ref=sr_1_22?dib=eyJ2IjoiMSJ9._ML-eIcX94xzk1kXKYKnDR76Q6Wnx2uC5g2CZB4ExodaHhsHdP8Cthc64FsmyON0RRQdNCjmna4HP0GlDJJx5cZ3Ad6mlNsdOavyKcsuvD5RzNq95l4A0-hQv-lykFF6eM4jUmIKqdiOhX04XZY3aq7US_5a6oBFMh3f2wjuL0pSJpvXoMV7v8soFjq0azX-l5kuQFW4VLH_TWSQsMq1-YToUK526Agc2yY8H6OF0uU.EVkoKLBdeuj0aBPI8A97d4oXIBg3y9fcO091W9NUCTQ&dib_tag=se&keywords=fridge&qid=1718608271&sr=8-22,https://m.media-amazon.com/images/I/61W+ckCCZvL._AC_SY445_SX342_.jpg
"West Bend Frost Free Apartment Size Refrigerator, 10.1 Cu.Ft, Metallic",https://www.amazon.com/West-Bend-WB0100TMFBSS-Apartment-Refrigerator/dp/B0C1PB9WVY/ref=sr_1_23?dib=eyJ2IjoiMSJ9._ML-eIcX94xzk1kXKYKnDR76Q6Wnx2uC5g2CZB4ExodaHhsHdP8Cthc64FsmyON0RRQdNCjmna4HP0GlDJJx5cZ3Ad6mlNsdOavyKcsuvD5RzNq95l4A0-hQv-lykFF6eM4jUmIKqdiOhX04XZY3aq7US_5a6oBFMh3f2wjuL0pSJpvXoMV7v8soFjq0azX-l5kuQFW4VLH_TWSQsMq1-YToUK526Agc2yY8H6OF0uU.EVkoKLBdeuj0aBPI8A97d4oXIBg3y9fcO091W9NUCTQ&dib_tag=se&keywords=fridge&qid=1718608271&sr=8-23,https://m.media-amazon.com/images/I/81x1dZBT5VL.__AC_SY445_SX342_QL70_ML2_.jpg
"Frigidaire FRQG1721AV 17.4 Cubic Foot Refrigerator, Silver",https://www.amazon.com/FRIGIDAIRE-FRQG1721AV-Cubic-Refrigerator-Silver/dp/B09GC3QBZC/ref=sr_1_25?dib=eyJ2IjoiMSJ9._ML-eIcX94xzk1kXKYKnDR76Q6Wnx2uC5g2CZB4ExodaHhsHdP8Cthc64FsmyON0RRQdNCjmna4HP0GlDJJx5cZ3Ad6mlNsdOavyKcsuvD5RzNq95l4A0-hQv-lykFF6eM4jUmIKqdiOhX04XZY3aq7US_5a6oBFMh3f2wjuL0pSJpvXoMV7v8soFjq0azX-l5kuQFW4VLH_TWSQsMq1-YToUK526Agc2yY8H6OF0uU.EVkoKLBdeuj0aBPI8A97d4oXIBg3y9fcO091W9NUCTQ&dib_tag=se&keywords=fridge&qid=1718608271&sr=8-25,https://m.media-amazon.com/images/I/41RPyYeGPrL.__AC_SY445_SX342_QL70_ML2_.jpg
"FRIGIDAIRE EFR756-CREAM EFR756, 2 Door Apartment Size Retro Refrigerator with Top Freezer, Chrome Handles, 7.5 cu ft, Cream",https://www.amazon.com/FRIGIDAIRE-EFR756-CREAM-Apartment-Refrigerator-Freezer/dp/B08TCJG7T9/ref=sr_1_26?dib=eyJ2IjoiMSJ9._ML-eIcX94xzk1kXKYKnDR76Q6Wnx2uC5g2CZB4ExodaHhsHdP8Cthc64FsmyON0RRQdNCjmna4HP0GlDJJx5cZ3Ad6mlNsdOavyKcsuvD5RzNq95l4A0-hQv-lykFF6eM4jUmIKqdiOhX04XZY3aq7US_5a6oBFMh3f2wjuL0pSJpvXoMV7v8soFjq0azX-l5kuQFW4VLH_TWSQsMq1-YToUK526Agc2yY8H6OF0uU.EVkoKLBdeuj0aBPI8A97d4oXIBg3y9fcO091W9NUCTQ&dib_tag=se&keywords=fridge&qid=1718608271&sr=8-26,https://m.media-amazon.com/images/I/61RmvVSQDcL.__AC_SX342_SY445_QL70_ML2_.jpg
"Frigidaire Mini Portable Compact Personal Fridge Cooler, 4 Liter Capacity Chills Six 12 oz Cans, 100% Freon-Free & Eco Friendly, Includes Plugs for Home Outlet & 12V Car Charger - White",https://www.amazon.com/Frigidaire-Portable-Personal-Capacity-Freon-Free/dp/B08F2X9FBQ/ref=sr_1_27?dib=eyJ2IjoiMSJ9._ML-eIcX94xzk1kXKYKnDR76Q6Wnx2uC5g2CZB4ExodaHhsHdP8Cthc64FsmyON0RRQdNCjmna4HP0GlDJJx5cZ3Ad6mlNsdOavyKcsuvD5RzNq95l4A0-hQv-lykFF6eM4jUmIKqdiOhX04XZY3aq7US_5a6oBFMh3f2wjuL0pSJpvXoMV7v8soFjq0azX-l5kuQFW4VLH_TWSQsMq1-YToUK526Agc2yY8H6OF0uU.EVkoKLBdeuj0aBPI8A97d4oXIBg3y9fcO091W9NUCTQ&dib_tag=se&keywords=fridge&qid=1718608271&sr=8-27,https://m.media-amazon.com/images/I/61IwWf2lQML.__AC_SY445_SX342_QL70_ML2_.jpg
hOmeLabs Beverage Refrigerator and Cooler - 120 Can Mini Fridge with Glass Door for Soda Beer or Wine - Small Drink Dispenser Machine for Office or Bar with Adjustable Removable Shelves,https://www.amazon.com/hOmeLabs-Beverage-Refrigerator-Cooler-Adjustable/dp/B0786TJC33/ref=sr_1_28?dib=eyJ2IjoiMSJ9._ML-eIcX94xzk1kXKYKnDR76Q6Wnx2uC5g2CZB4ExodaHhsHdP8Cthc64FsmyON0RRQdNCjmna4HP0GlDJJx5cZ3Ad6mlNsdOavyKcsuvD5RzNq95l4A0-hQv-lykFF6eM4jUmIKqdiOhX04XZY3aq7US_5a6oBFMh3f2wjuL0pSJpvXoMV7v8soFjq0azX-l5kuQFW4VLH_TWSQsMq1-YToUK526Agc2yY8H6OF0uU.EVkoKLBdeuj0aBPI8A97d4oXIBg3y9fcO091W9NUCTQ&dib_tag=se&keywords=fridge&qid=1718608271&sr=8-28,https://m.media-amazon.com/images/I/71G-itWi-HL.__AC_SY445_SX342_QL70_ML2_.jpg
"Compact Refrigerator Double Door Mini Fridge with Freezer, 3.5 CU FT Mini Refrigerator with 7 Level Adjustable Thermostat for Office, Dorm, Apartment, Black",https://www.amazon.com/Kazigak-Refrigerator-Adjustable-Thermostat-Apartment/dp/B0CC5HGQ4Y/ref=sr_1_29?dib=eyJ2IjoiMSJ9._ML-eIcX94xzk1kXKYKnDR76Q6Wnx2uC5g2CZB4ExodaHhsHdP8Cthc64FsmyON0RRQdNCjmna4HP0GlDJJx5cZ3Ad6mlNsdOavyKcsuvD5RzNq95l4A0-hQv-lykFF6eM4jUmIKqdiOhX04XZY3aq7US_5a6oBFMh3f2wjuL0pSJpvXoMV7v8soFjq0azX-l5kuQFW4VLH_TWSQsMq1-YToUK526Agc2yY8H6OF0uU.EVkoKLBdeuj0aBPI8A97d4oXIBg3y9fcO091W9NUCTQ&dib_tag=se&keywords=fridge&qid=1718608271&sr=8-29,https://m.media-amazon.com/images/I/51SkGzaVYhL.__AC_SY445_SX342_QL70_ML2_.jpg
"Mini Fridge - Skincare Fridge With Dimmable LED Light Mirror,4L,Cooler or Warmer,Portable and Compact,Home & Car Use, White",https://www.amazon.com/Yacumx-Mini-Fridge-Skincare-Dimmable/dp/B0CXXXVLJS/ref=sr_1_30?dib=eyJ2IjoiMSJ9._ML-eIcX94xzk1kXKYKnDR76Q6Wnx2uC5g2CZB4ExodaHhsHdP8Cthc64FsmyON0RRQdNCjmna4HP0GlDJJx5cZ3Ad6mlNsdOavyKcsuvD5RzNq95l4A0-hQv-lykFF6eM4jUmIKqdiOhX04XZY3aq7US_5a6oBFMh3f2wjuL0pSJpvXoMV7v8soFjq0azX-l5kuQFW4VLH_TWSQsMq1-YToUK526Agc2yY8H6OF0uU.EVkoKLBdeuj0aBPI8A97d4oXIBg3y9fcO091W9NUCTQ&dib_tag=se&keywords=fridge&qid=1718608271&sr=8-30,https://m.media-amazon.com/images/I/51mFzPbloDL.__AC_SY445_SX342_QL70_ML2_.jpg
"3.5 Cu.Ft Mini Fridge with Freezer, 2 Door Design Small Refrigerator, 7 Level Adjustable Thermostat, Compact Fridge for Dorm, Office, Kitchen and Apartment(Silver)",https://www.amazon.com/Geekman-Refrigerator-Adjustable-Thermostat-Apartment/dp/B0CWP4JXPQ/ref=sr_1_31?dib=eyJ2IjoiMSJ9._ML-eIcX94xzk1kXKYKnDR76Q6Wnx2uC5g2CZB4ExodaHhsHdP8Cthc64FsmyON0RRQdNCjmna4HP0GlDJJx5cZ3Ad6mlNsdOavyKcsuvD5RzNq95l4A0-hQv-lykFF6eM4jUmIKqdiOhX04XZY3aq7US_5a6oBFMh3f2wjuL0pSJpvXoMV7v8soFjq0azX-l5kuQFW4VLH_TWSQsMq1-YToUK526Agc2yY8H6OF0uU.EVkoKLBdeuj0aBPI8A97d4oXIBg3y9fcO091W9NUCTQ&dib_tag=se&keywords=fridge&qid=1718608271&sr=8-31,https://m.media-amazon.com/images/I/61roiwrdl5L.__AC_SY445_SX342_QL70_ML2_.jpg
KRIB BLING Refrigerator with Freezer 3.5 Cu.Ft with 7 Level Adjustable Thermostat Control 2 Door Energy Saving Top-Freezer Compact Refrigerator Black,https://www.amazon.com/KRIB-BLING-Refrigerator-Adjustable-Top-Freezer/dp/B0C3H5HSTP/ref=sr_1_32?dib=eyJ2IjoiMSJ9._ML-eIcX94xzk1kXKYKnDR76Q6Wnx2uC5g2CZB4ExodaHhsHdP8Cthc64FsmyON0RRQdNCjmna4HP0GlDJJx5cZ3Ad6mlNsdOavyKcsuvD5RzNq95l4A0-hQv-lykFF6eM4jUmIKqdiOhX04XZY3aq7US_5a6oBFMh3f2wjuL0pSJpvXoMV7v8soFjq0azX-l5kuQFW4VLH_TWSQsMq1-YToUK526Agc2yY8H6OF0uU.EVkoKLBdeuj0aBPI8A97d4oXIBg3y9fcO091W9NUCTQ&dib_tag=se&keywords=fridge&qid=1718608271&sr=8-32,https://m.media-amazon.com/images/I/61L2HyqGDML.__AC_SX342_SY445_QL70_ML2_.jpg
